字符	碼位	IDC	備註
𦸅	26e05	⿱廿宼	
𠁥	20065	⿴丫八	#
𠂉	20089	⿰丿一	
𠂢	200A2	⿸𠂆𧘇	#
𠅘	20158	⿳亠⺝冖丁	#
𠊎	2028E	⿰亻厓	
𠌫	2032B	⿰亻畢	
𠍽	2037D	⿰亻奢	
𠎦	203A6	⿰亻強	
𠎷	203B7	⿰亻(⿱夭韭)	
𠐍	2040D	⿰亻數	
𠑹	20479	⿴儿口口	#
𠕆	20546	⿵冇一	
𠕇	20547	⿵冇丶	
𠖄	20584	⿱冖同	
𠗌	205CC	⿰冫克	
𠗻	205FB	⿰冫堅	
𠘺	2063A	⿳亠厶几	
𠙴	20674	厶	#
𠛡	206E1	⿰必刂	
𠜱	20731	⿰卑刂	
𠜶	20736	⿰(⿱止止)刂	
𠞩	207A9	⿰率刂	
𠞭	207AD	⿰婁刂	
𠟪	207EA	⿰業刂	
𠠃	20803	⿰(⿱丛韭)刂	
𠠝	2081D	⿰歷刂	
𠢕	20895	⿱敖力	
𠦬	209AC	⿴千𠈌	
𠫤	20AE4	⿱㐅厷	
𠯗	20BD7	⿰口帀	
𠲿	20CBF	⿰口束	
𠳹	20CF9	⿰口床	
𠴰	20D30	⿰口(⿱处口)	
𠵣	20D63	⿰口軋	
𠷎	20DCE	⿴弓(⿳工工口)	
𠸄	20E04	⿰口英	
𠺕	20E95	⿰口留	
𠻗	20ED7	⿰口离	
𠾱	20FB1	⿰口替	
𠿺	20FFA	⿰口葬	
𡈼	2123C	⿱丿土	
𡍋	2134B	⿰土奔	
𡙇	21647	⿰垂夬	
𡚁	21681	⿱敝大	
𡟥	217E5	⿰女禹	
𡠜	2181C	⿱莫女	
𡢃	21883	⿰女間	
𡧮	219EE	⿳宀日匕	
𡨋	21A0B	⿳宀⺝一八	#
𡨞	21A1E	⿳宀⺕冖又	#
𡩋	21A4B	⿳宀心冉	
𡯓	21BD3	⿺兀介	
𡳞	21CDE	⿸尸(⿱米舛)	
𡽁	21F41	⿰山(⿱自辛)	
𡾔	21F94	⿱畾山	
𢄧	22127	⿱族巾	
𢓜	224DC	⿰彳各	
𢓳	224F3	⿰彳甹	
𢙈	22648	⿱心吅|⿱心(⿰口口)	
𢜳	22733	⿰忄壴	
𢠳	22833	⿰忄敝	
